[-182.28261  -57.67586  691.66925],[-61.742264 -49.22802  628.89325 ],[ 61.317093 -40.781563 555.326   ],[178.99393 -32.5196  474.68823],[287.47253 -25.06133 396.4189 ]
[-182.28261  -57.67586  691.66925],[-61.742264 -49.22802  628.89325 ],[ 61.65497  -40.768013 555.36206 ],[179.27411  -32.506866 474.67465 ],[287.22525 -25.19693 396.09152]
[-182.29909  -57.81653  691.7149 ],[-61.718487 -49.230377 628.65784 ],[ 61.96291  -40.760498 555.10876 ],[179.27411  -32.506866 474.67465 ],[286.91733  -25.059763 395.68857 ]
[-182.28261  -57.67586  691.66925],[-61.737    -49.414738 628.6145  ],[ 61.94613  -40.642853 555.04535 ],[179.5762  -32.77221 474.72626],[286.90182  -25.068241 395.3317  ]
[-182.28261  -57.67586  691.66925],[-61.737    -49.414738 628.6145  ],[ 61.96291  -40.760498 555.10876 ],[179.73969 -32.77114 474.3934 ],[286.6879   -25.078709 395.36453 ]
[-182.2908    -57.746197  691.69214 ],[-61.735622 -49.320415 628.5697  ],[ 61.938732 -40.923767 555.0861  ],[179.85641 -32.75953 474.71265],[286.90182  -25.068241 395.3317  ]
[-182.2908    -57.746197  691.69214 ],[-61.718487 -49.230377 628.65784 ],[ 61.94613  -40.642853 555.04535 ],[179.6946  -32.63285 474.3188 ],[287.13153  -25.049284 395.65582 ]
[-182.2908    -57.746197  691.69214 ],[-61.71701  -49.136017 628.6129  ],[ 61.976074 -40.6368   555.3349  ],[179.81128  -32.621204 474.63803 ],[287.2098  -25.20539 395.7344 ]
[-182.28261  -57.67586  691.66925],[-61.784607 -49.410164 629.0853  ],[ 62.022884 -40.748413 555.6879  ],[179.92804 -32.60956 474.95752],[287.5915   -25.011322 396.30502 ]
[-182.28261  -57.67586  691.66925],[-61.784607 -49.410164 629.0853  ],[ 62.00603 -40.63074 555.6246 ],[180.04486  -32.597904 475.27728 ],[288.05237  -24.973303 396.95557 ]
[-182.2908    -57.746197  691.69214 ],[-61.764633 -49.13129  629.08386 ],[ 62.035988 -40.62468  555.9144  ],[180.02275 -32.31955 475.2122 ],[288.51413 -24.93522 397.60736]
[-182.2908    -57.746197  691.69214 ],[-61.766052 -49.225662 629.1287  ],[ 62.035988 -40.62468  555.9144  ],[180.09245 -32.29699 476.1858 ],[288.6821   -24.751184 398.214   ]
[-182.2908    -57.746197  691.69214 ],[-61.764633 -49.13129  629.08386 ],[ 62.082886 -40.736332 556.2677  ],[179.92783  -32.298058 476.5191  ],[289.30246  -25.026175 399.0257  ]
[-182.2908    -57.746197  691.69214 ],[-61.740814 -49.13365  628.8484  ],[ 61.75733  -40.626232 556.4575  ],[180.04459  -32.286263 476.83978 ],[289.70535  -24.713562 399.60538 ]
[-182.2908    -57.746197  691.69214 ],[-61.7395  -49.03931 628.80347],[ 61.41877 -40.6399  556.4206 ],[179.8794  -32.28736 477.1732 ],[290.17035  -24.675064 400.2623  ]
[-182.29909  -57.81653  691.7149 ],[-61.766052 -49.225662 629.1287  ],[ 61.431396 -40.5163   556.6472  ],[179.71378 -32.28848 477.5065 ],[290.40314 -24.65579 400.59134]
[-182.2908    -57.746197  691.69214 ],[-62.15548  -49.234848 629.2364  ],[ 61.431396 -40.5163   556.6472  ],[179.83028  -32.276695 477.8276  ],[290.55725 -24.47952 400.84177]
[-182.3346   -57.74547  691.86005],[-62.15548  -49.234848 629.2364  ],[ 61.12214 -40.524   556.8997 ],[179.54776 -32.28962 477.8398 ],[290.8695 -24.6172 401.2502]
[-182.28261  -57.67586  691.66925],[-62.52097 -49.2464  629.10864],[ 60.783356 -40.53776  556.8624  ],[179.66408  -32.277847 478.16095 ],[290.8695 -24.6172 401.2502]
[-182.2908    -57.746197  691.69214 ],[-62.52261 -49.34061 629.1534 ],[ 60.783356 -40.53776  556.8624  ],[179.28862  -32.161705 477.8617  ],[290.41803  -24.647196 400.95215 ]
[-182.63474  -57.75091  691.4218 ],[-62.519463 -49.1522   629.06384 ],[ 60.766365 -40.420376 556.79944 ],[179.21997  -32.164303 477.77762 ],[290.43573 -24.52908 400.95514]
[-182.77443   -57.818985  691.9477  ],[-62.52261 -49.34061 629.1534 ],[ 60.77099 -40.66121 556.6359 ],[179.12738  -32.035347 477.4665  ],[290.1852   -24.666471 400.62292 ]
[-182.38666   -57.815083  692.05096 ],[-62.52097 -49.2464  629.10864],[ 60.72917 -40.79067 556.12054],[179.05661  -32.185417 477.2203  ],[289.7203   -24.704973 399.96548 ]
[-182.37029   -57.674427  692.0053  ],[-62.474663 -49.345295 628.68353 ],[ 60.74177  -40.667236 556.3466  ],[178.91739  -32.337803 476.89032 ],[289.48816 -24.7242  399.6372 ]
[-182.43045  -57.81436  692.21893],[-62.085472 -49.3362   628.5757  ],[ 60.69993 -40.79667 555.8315 ],[179.03806  -32.198524 476.4831  ],[289.2413 -24.752  398.9497]
[-182.38666   -57.815083  692.05096 ],[-62.106174 -49.145283 628.7211  ],[ 61.0381 -40.7831 555.868 ],[178.85138  -32.360165 475.91772 ],[288.77817  -24.790379 398.2954  ]
[-182.37842   -57.744747  692.0281  ],[-62.158764 -49.423473 629.3261  ],[ 61.346703 -40.775547 555.6152  ],[178.94548  -32.508938 475.34003 ],[288.0851   -24.847828 397.31638 ]
[-182.42224   -57.744034  692.1961  ],[-61.79136  -49.317684 629.4091  ],[ 61.317093 -40.781563 555.326   ],[179.06146  -32.497223 475.65942 ],[287.85458  -24.866945 396.99066 ]
[-182.37842   -57.744747  692.0281  ],[-61.76759 -49.32004 629.1736 ],[ 61.317093 -40.781563 555.326   ],[179.11002 -32.50789 475.0074 ],[287.39413 -24.90514 396.34027]
