[-69.03388  -13.956636 293.31302 ],[-13.436609 -14.03549  337.1691  ],[ 41.10143  -14.154627 387.24478 ],[ 97.45214  -14.008739 442.00836 ],[157.91432  -14.439015 507.7163  ]
[-69.03388  -13.956636 293.31302 ],[-13.436609 -14.03549  337.1691  ],[ 41.10143  -14.154627 387.24478 ],[ 97.45214  -14.008739 442.00836 ],[157.8977   -14.512292 507.73706 ]
[-69.03388  -13.956636 293.31302 ],[-13.620607 -14.019778 337.2272  ],[ 40.835865 -14.312331 387.10703 ],[ 97.22859  -13.901885 442.21796 ],[157.49907  -14.455992 508.1849  ]
[-69.03388  -13.956636 293.31302 ],[-13.616727 -14.023643 337.0854  ],[ 40.854446 -14.226513 387.0932  ],[ 96.83371  -13.938824 442.41028 ],[157.13309  -14.252496 508.59155 ]
[-69.03388  -13.956636 293.31302 ],[-13.616727 -14.023643 337.0854  ],[ 40.693188 -14.11855  387.32172 ],[ 96.56154 -13.91322 442.50864],[156.90224 -14.11794 509.4965 ]
[-69.03388  -13.956636 293.31302 ],[-13.616727 -14.023643 337.0854  ],[ 40.4623   -14.187811 387.3059  ],[ 96.41087  -13.892751 442.63562 ],[156.48102  -13.328732 509.13773 ]
[-69.03388  -13.956636 293.31302 ],[-13.598825 -13.931201 337.07312 ],[ 40.427643 -14.276479 387.18356 ],[ 96.186485 -13.78569  442.84567 ],[156.40056  -13.515872 509.96466 ]
[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 40.41161  -14.279215 387.04742 ],[ 95.987526 -13.846633 442.861   ],[156.22673  -13.779688 510.57504 ]
[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 40.395576 -14.281948 386.9113  ],[ 96.17551  -13.707903 442.70044 ],[156.22223  -13.961029 509.85223 ]
[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 40.430214 -14.193305 387.03357 ],[ 96.3427   -13.733822 442.39536 ],[156.3997   -13.843675 509.40558 ]
[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 40.62622  -14.212646 386.92743 ],[ 96.76327  -13.864821 442.00955 ],[156.72423  -13.903199 508.71802 ]
[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 40.84073  -14.146188 386.8075  ],[ 96.95952 -13.88878 441.83334],[156.99297  -14.037048 507.93463 ]
[-69.03388  -13.956636 293.31302 ],[-13.411127 -13.950827 336.87347 ],[ 40.805965 -14.234704 386.68555 ],[ 97.17414  -13.833429 441.64066 ],[157.40887  -14.020742 507.46747 ]
[-69.03388  -13.956636 293.31302 ],[-13.411127 -13.950827 336.87347 ],[ 41.001694 -14.254011 386.57962 ],[ 97.370056 -13.857414 441.46484 ],[157.7858   -14.005627 506.88287 ]
[-69.03388  -13.956636 293.31302 ],[-13.411127 -13.950827 336.87347 ],[ 41.02028  -14.168295 386.56577 ],[ 97.56581  -13.881376 441.28912 ],[157.8026   -13.932469 506.86203 ]
